Price,City,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,Listing Agent,Status,Zipcode_encoded,MLS ID
733862,2,2,6,1,2342,5419,1984,46,0,4,0,733862.0,301609
367764,3,3,3,1,2761,9262,1960,99,4,1,0,367764.0,564259
890978,2,2,1,4,3887,3596,2000,119,2,4,0,890978.0,638431
139928,4,0,1,3,2093,1094,1977,34,0,1,1,139928.0,162140
574704,1,3,1,1,903,6122,2006,43,0,4,0,574704.0,931659
454473,0,2,5,2,3693,9896,1951,87,0,3,0,825880.3333333334,817902
548614,2,2,3,1,3527,3201,2008,108,1,3,0,548614.0,525763
741710,2,0,1,4,1224,3876,2001,27,4,4,2,741710.0,342636
1300809,4,0,5,4,2543,7979,2001,108,2,4,0,1300809.0,717722
347172,1,0,5,1,3638,2063,2017,43,1,1,2,347172.0,643800
843750,0,0,1,3,1069,3385,2010,43,0,0,0,843750.0,112914
833347,3,4,4,4,2669,3606,1958,40,2,2,2,833347.0,789934
1440759,3,4,5,3,1012,6279,1954,94,1,0,2,1440759.0,833664
1100894,3,3,6,4,1741,5632,1970,86,0,1,1,1100894.0,496728
671356,4,2,5,4,734,1972,2006,1,2,0,1,671356.0,994774
1194026,1,2,4,2,3407,3199,2009,96,0,2,0,1194026.0,780138
258887,1,2,5,3,1232,3758,1976,57,1,4,1,258887.0,538065
204548,4,3,3,4,2665,4095,2020,61,0,0,0,204548.0,390085
1167370,0,2,5,1,823,4310,2021,88,4,3,0,1167370.0,390961
1009558,2,3,4,2,3944,7637,1983,27,4,3,2,1009558.0,779303
1256611,2,0,2,4,3037,9989,1956,25,4,0,2,1256611.0,587830
439407,4,2,2,4,2796,7855,1969,15,0,0,2,439407.0,685882
115004,4,1,4,3,2671,8290,1967,11,1,2,0,115004.0,451420
204351,1,3,4,3,1540,4699,1962,34,2,0,2,204351.0,599335
231952,4,0,5,3,3428,3914,2015,43,1,4,2,231952.0,899336
1451974,2,0,6,3,2284,4615,1964,55,2,0,1,1451974.0,161703
970820,2,0,5,3,1506,3116,2004,117,4,0,2,970820.0,865226
327979,4,4,4,2,2154,9985,1971,71,3,1,1,327979.0,667921
1277005,0,2,5,3,3518,5620,2002,12,4,0,1,1277005.0,585705
1411376,3,3,5,3,2666,5243,1995,16,1,0,0,1411376.0,917501
603748,3,2,3,1,3411,6632,1956,88,1,3,0,603748.0,634496
1388656,2,3,5,3,1628,2454,2002,76,0,4,1,1388656.0,463975
190705,0,3,6,2,3167,9130,1957,120,4,2,2,190705.0,359735
878059,2,3,1,3,3060,4666,1974,46,2,2,0,1119557.5,406763
581015,3,0,5,2,1800,8145,1987,49,3,1,0,581015.0,389002
1129910,4,0,2,3,1809,2168,1988,26,1,3,0,1129910.0,862980
1122084,3,3,6,2,3061,8290,2000,78,4,0,2,1122084.0,214122
903726,1,1,3,1,2988,7286,2017,36,0,3,1,903726.0,258075
242071,1,2,3,1,2897,9444,1997,90,3,1,1,242071.0,805629
208486,1,0,4,2,3524,3925,1955,115,0,4,2,208486.0,516300
860219,4,3,6,1,963,5769,2008,78,1,3,0,860219.0,658626
215904,3,4,6,4,2701,9476,1995,47,2,0,2,735557.0,501809
1355937,2,0,5,2,904,9151,1956,75,0,2,2,1355937.0,183363
100866,0,3,1,1,2107,6485,2012,10,0,4,2,100866.0,577065
1131957,4,2,1,4,2573,6461,2022,22,0,0,1,1131957.0,683856
441645,3,0,2,1,3733,1332,1960,114,1,3,2,441645.0,284002
1296346,1,1,5,1,3232,2119,2019,43,2,1,0,1296346.0,121731
162697,2,2,6,3,1624,1726,1972,18,4,1,0,385241.0,238874
233832,1,2,3,4,2722,8216,1998,14,1,0,1,233832.0,175452
946472,0,0,2,3,1009,8969,2022,58,1,0,2,946472.0,266179
339864,0,1,3,1,3584,1287,1968,109,4,0,2,339864.0,187704
996664,3,0,5,3,939,9095,1982,66,3,2,0,996664.0,196514
891575,2,1,2,4,1845,3851,1998,91,2,1,2,891575.0,255382
725711,4,0,6,1,803,6903,2010,27,0,1,0,725711.0,263730
644055,0,3,1,3,2972,5735,1955,81,4,3,2,644055.0,696107
493145,0,4,5,2,2880,2593,1981,82,1,0,2,493145.0,864815
204309,4,3,4,3,3377,6022,2010,38,1,3,1,204309.0,646579
517031,4,2,3,1,2633,4383,1972,49,3,4,2,517031.0,416621
1204990,4,0,3,1,2785,6544,2009,47,0,2,2,1204990.0,935760
1001011,3,2,6,1,1905,4957,1975,12,0,0,2,1001011.0,570340
1021673,4,1,4,2,3019,8469,1969,57,1,4,2,1021673.0,974190
1289770,1,2,3,2,3728,4055,1980,50,1,2,0,1289770.0,676423
1107344,3,0,6,2,1448,8937,1990,87,2,3,1,1107344.0,462158
369317,4,2,5,4,2607,3593,2010,91,4,4,2,369317.0,309599
895834,2,3,1,2,1418,9398,1975,47,2,3,1,895834.0,297205
1229258,0,3,2,1,2690,3636,1955,56,1,1,2,1229258.0,470152
598034,0,0,4,3,2174,3623,1970,65,4,4,0,598034.0,985415
1425415,3,0,3,4,3225,7924,1972,22,4,1,2,1425415.0,776273
998214,2,3,3,2,1102,7579,2010,6,0,1,0,998214.0,243082
978002,0,0,3,3,2310,2680,1968,108,0,0,2,978002.0,570437
417290,0,1,3,3,2374,9265,1950,46,4,4,2,417290.0,746198
1400298,1,1,6,2,2943,4739,1975,3,2,2,0,1400298.0,870749
633891,4,3,4,4,3481,8346,1967,14,4,0,2,633891.0,177113
365175,4,0,1,2,3651,7482,1954,18,2,0,0,365175.0,119856
1137506,2,0,2,1,1385,3062,2009,42,3,2,0,1137506.0,379606
506158,0,0,5,4,2306,1972,1985,8,2,2,2,506158.0,689755
518222,0,3,4,2,1462,2320,2000,114,3,1,1,518222.0,371880
321323,4,2,6,1,1053,7863,2012,30,1,4,2,321323.0,262829
130843,1,2,3,2,1430,5008,2008,54,3,1,0,130843.0,656060
466691,4,0,1,2,1741,2238,2014,18,1,0,0,466691.0,962395
430345,4,0,2,1,3871,8875,1990,44,0,2,2,430345.0,921723
179767,2,3,3,2,2531,9649,1987,47,3,1,1,179767.0,936998
1321540,0,1,1,4,1697,3282,1964,108,3,1,0,1321540.0,988784
814097,4,1,4,3,1874,3262,2006,74,1,4,1,814097.0,814879
305871,3,3,2,1,1084,6213,1982,20,2,2,2,305871.0,950492
511660,1,1,6,4,1268,6416,1988,45,0,3,0,511660.0,765326
100366,1,2,5,3,1383,1172,1966,102,1,0,1,100366.0,944020
482895,4,2,2,3,1942,6402,1967,103,3,0,1,482895.0,898311
1205338,2,1,6,4,3763,5643,1990,68,4,4,0,1205338.0,842333
991560,0,0,3,1,3594,8781,2004,32,1,1,0,991560.0,384988
1399592,4,1,3,3,2107,3647,1974,41,3,1,0,1399592.0,107372
257927,3,3,6,2,3845,2577,2019,108,0,4,0,257927.0,232920
632033,1,2,4,2,2424,9094,1964,97,1,3,0,632033.0,972091
328592,1,4,5,2,782,7738,1981,60,1,0,0,328592.0,528745
1491526,0,3,1,1,1372,7782,2001,82,0,3,0,1491526.0,376339
241995,1,1,4,4,2842,4737,1987,24,3,0,0,241995.0,110411
183679,4,1,5,1,3566,2593,1968,32,4,3,0,183679.0,116849
803730,3,2,2,3,2648,4097,1962,83,4,1,2,803730.0,657215
707137,3,2,6,4,1102,1279,1954,48,0,1,2,707137.0,102238
121284,0,1,6,3,3267,8097,1998,116,3,3,2,121284.0,322685
430954,1,1,6,4,764,3879,1975,3,3,0,1,430954.0,272372
890970,2,2,2,2,3929,6154,1991,108,4,3,2,890970.0,573946
459948,1,2,5,1,1287,5152,2000,114,4,2,2,459948.0,336937
1060149,2,1,5,3,1000,4951,1982,40,4,4,0,1060149.0,638010
556583,4,4,1,2,2585,3762,1982,44,1,4,1,556583.0,515422
200783,3,2,4,1,2784,1944,1983,102,0,4,1,200783.0,118418
243533,3,3,4,3,2702,3639,1969,79,1,3,2,243533.0,147878
408518,0,1,1,3,1152,4219,2012,49,3,3,2,408518.0,912413
1371610,0,3,4,2,2668,5454,1968,89,1,4,0,1371610.0,877306
1436618,0,4,4,2,1979,2167,1956,53,2,4,1,1436618.0,651375
1359152,0,4,2,2,3125,2175,2001,25,4,3,1,998581.0,893394
589245,0,0,1,1,794,1177,1987,39,4,2,0,589245.0,408115
1427494,1,3,4,4,2514,7593,1994,100,4,4,2,1427494.0,307664
1230642,4,1,5,4,2342,6874,2021,61,1,4,0,1230642.0,540795
1304385,1,3,4,3,878,4083,2004,41,1,0,0,1304385.0,358205
747218,3,0,3,4,2623,1356,2020,44,1,1,0,747218.0,154957
414153,3,1,1,4,1065,3682,1956,113,1,0,2,414153.0,384719
1471246,4,1,4,4,3930,3160,1992,71,2,1,0,1471246.0,903323
233461,3,4,2,4,2715,2504,1987,41,1,3,2,233461.0,767438
415590,2,1,2,4,820,8355,1958,43,0,1,0,415590.0,683490
628913,4,0,1,2,3131,6904,1980,9,1,4,2,628913.0,848050
1161136,0,4,5,4,1576,3947,1983,4,4,1,1,1161136.0,281083
1187629,1,1,4,4,1977,7601,1981,73,1,2,2,1187629.0,125003
1411862,0,3,3,2,650,2491,1976,56,1,3,1,1411862.0,825915
631172,4,2,6,3,3655,8072,1983,18,0,1,1,631172.0,540956
1453453,4,1,6,1,1300,3142,2004,29,0,1,0,1453453.0,723909
157884,1,4,3,4,1577,6868,1965,39,2,1,2,157884.0,724741
1193460,0,2,6,2,1775,3631,1952,93,2,2,0,1193460.0,314343
566443,1,3,2,2,665,2481,1988,53,1,0,1,566443.0,209789
540820,2,4,5,3,3824,1336,1973,29,3,3,2,540820.0,999964
148463,4,4,3,2,3549,4940,1962,16,0,2,1,148463.0,739678
922164,1,2,4,3,2329,2940,2019,69,0,2,0,922164.0,378952
925438,2,0,2,3,2307,7339,2019,37,0,0,2,664382.0,965755
421606,2,3,6,1,2345,7348,2009,22,0,1,0,421606.0,374124
913878,2,1,2,1,3288,1472,1984,38,2,0,2,913878.0,856614
1258728,4,2,3,4,2128,1335,1992,100,3,0,1,925112.5,799381
672952,3,3,3,4,1166,6068,2002,34,3,0,2,672952.0,119872
1254323,1,0,4,3,1051,6205,2019,72,2,0,1,1254323.0,165689
157609,1,0,3,2,1100,8618,2019,11,2,4,2,157609.0,289935
1319677,1,4,6,3,1310,6670,1967,120,4,2,0,1319677.0,967602
144964,2,2,5,3,1141,8933,1994,62,0,0,2,569195.0,515391
1246074,4,2,4,3,1907,6531,2007,52,3,2,0,1246074.0,659893
339783,2,1,1,4,3346,6926,1953,100,3,0,1,339783.0,819742
1069438,1,2,1,3,1684,6802,1992,82,2,3,1,1069438.0,525928
391685,1,3,5,2,1816,7277,1983,36,1,2,0,391685.0,312018
1273944,1,0,3,3,2465,8960,1993,31,0,2,0,1273944.0,834095
832115,2,4,3,1,3103,7144,2016,75,3,2,1,832115.0,906426
738248,1,0,1,3,1081,6201,1960,98,1,1,0,738248.0,566056
190155,1,3,6,3,1668,9748,1970,68,3,3,0,190155.0,439388
603539,1,3,2,3,1086,3929,1976,50,2,3,2,603539.0,661992
578510,3,4,5,3,2581,2355,1954,20,3,1,2,578510.0,402448
1103122,2,0,2,2,2931,2144,1970,98,2,1,2,1103122.0,806877
615962,1,0,2,3,3176,7268,1953,40,2,4,1,615962.0,165146
1012565,0,1,6,4,965,1073,1970,95,2,2,0,1012565.0,234211
1246322,1,1,6,4,912,1399,1961,41,4,3,0,1246322.0,701098
128445,4,4,1,1,2206,5397,1982,111,0,4,1,128445.0,932333
1399813,1,1,1,2,726,3438,1957,38,2,0,1,1399813.0,597871
246724,2,2,3,2,3255,5242,1970,95,3,3,0,246724.0,604384
1445108,0,3,2,4,2395,9573,2000,31,4,0,1,1406219.5,771228
489643,3,2,6,1,3166,8056,1960,25,0,0,0,489643.0,877499
183352,3,0,6,2,2241,1726,1961,70,2,1,1,183352.0,243021
490661,4,2,4,4,2584,2927,1962,34,3,4,0,490661.0,706747
730647,4,2,5,1,2075,4257,2013,55,0,0,0,730647.0,396035
1123836,4,3,1,2,919,6556,1989,78,4,0,0,1123836.0,588790
800312,3,3,2,2,2014,2859,1960,111,2,4,1,800312.0,258554
247619,0,1,4,1,1697,2200,1997,119,0,2,0,247619.0,250306
879038,1,1,2,1,1801,1484,1998,1,4,2,1,879038.0,576755
735604,0,3,2,3,3951,3078,1983,9,3,0,0,735604.0,132195
1315315,4,1,1,1,1895,4224,2002,39,2,2,1,1315315.0,245402
703493,1,3,6,3,2228,5244,1964,91,0,4,0,703493.0,244022
1449651,1,4,5,3,2332,4235,1953,113,2,4,0,1449651.0,110431
429050,3,0,1,2,2089,5162,2015,66,0,1,1,429050.0,833635
436227,1,4,5,2,881,1670,1974,46,4,2,0,436227.0,555531
1043402,4,3,6,3,2741,6549,1968,47,3,1,2,1043402.0,355318
1472476,4,1,2,2,2997,4716,1957,111,3,2,2,1472476.0,185469
101342,2,3,3,1,1658,9733,2021,34,0,1,1,101342.0,311877
1144956,0,0,6,1,1783,6138,1966,78,0,4,2,1144956.0,231335
257758,3,4,3,1,2700,9067,1989,44,1,1,2,257758.0,386035
159682,2,0,3,1,3421,2996,1992,39,2,0,2,159682.0,762393
1368906,3,4,2,2,692,2137,2003,57,4,2,1,1368906.0,496236
226311,0,0,6,2,2021,8163,1951,88,2,3,0,226311.0,198021
242280,3,3,2,3,3560,5320,1972,71,2,4,0,242280.0,617531
1371316,2,4,1,4,1173,7073,2012,98,3,1,1,1038324.5,328755
987853,4,1,6,2,1380,3778,1964,85,4,3,2,987853.0,967843
461357,3,3,1,3,3427,6943,1980,59,0,2,2,461357.0,812378
349197,2,3,6,1,3026,7118,2020,67,4,3,2,349197.0,588255
294826,0,3,1,4,1690,9112,1963,40,2,3,0,294826.0,158637
1271947,3,1,6,1,2786,1793,1955,25,4,4,1,1271947.0,902537
830918,1,3,3,3,1392,3648,1997,68,4,0,2,830918.0,684839
671864,1,3,1,2,3679,2956,1984,5,0,2,1,671864.0,489649
302419,0,0,4,4,1265,9461,1989,25,3,3,1,302419.0,797213
388660,0,4,3,1,1983,4741,2017,93,4,4,0,388660.0,438657
1338663,3,0,6,2,1334,1444,1967,45,4,3,0,1338663.0,961917
1433049,0,0,4,2,1496,6335,1961,55,2,1,1,1433049.0,846365
646444,4,0,2,2,1647,6325,2004,73,2,1,0,646444.0,760671
1413534,4,0,6,2,2609,6952,1967,38,1,0,2,1413534.0,689262
878844,2,3,2,3,2480,4589,1980,51,0,3,1,878844.0,667089
190823,1,3,3,3,3946,1509,2003,48,0,3,2,190823.0,754711
248712,1,4,4,1,903,6778,1995,16,4,3,0,248712.0,305142
274794,3,0,1,1,1360,6947,1953,36,3,2,2,274794.0,752665
249833,3,0,5,2,975,3978,1977,43,0,4,0,249833.0,545472
1025908,2,3,6,2,3658,7281,1985,43,2,2,1,1025908.0,204328
274061,4,4,1,3,899,8551,1978,34,1,4,1,274061.0,669376
1092223,4,3,1,4,705,6698,2012,99,2,4,0,1092223.0,270133
1249985,2,1,3,2,1298,9755,1997,44,1,2,2,1249985.0,619633
1052096,0,2,4,4,2604,1813,2019,51,2,4,1,1052096.0,524598
825149,2,3,6,3,1482,1355,1952,63,4,4,0,825149.0,586918
1411144,3,2,3,1,838,7283,1963,103,1,4,0,1411144.0,786131
860572,2,3,2,3,3059,4115,1974,12,3,4,2,860572.0,351405
727584,1,2,5,1,620,3573,2008,23,4,0,2,727584.0,847985
795435,0,2,6,1,620,6199,1991,62,4,2,1,795435.0,772577
849860,3,2,3,1,3777,3451,2008,63,1,1,2,849860.0,191723
798115,2,4,1,3,644,6797,1979,17,4,3,1,798115.0,149453
773067,4,2,4,3,2789,7794,2001,48,2,2,2,773067.0,294707
260417,4,0,3,1,3003,3326,2015,95,1,2,1,260417.0,259320
1047769,3,0,4,2,3207,3074,1965,118,3,0,0,818136.0,370507
563528,0,4,2,4,1319,2031,2007,72,4,1,2,563528.0,693708
493415,4,3,3,3,3905,6897,1994,40,3,3,2,493415.0,142183
1367995,0,1,1,1,3929,8333,1981,64,2,4,0,1367995.0,440422
1085094,4,4,5,3,2199,3138,2017,62,1,2,1,1085094.0,679853
892569,3,4,1,4,2258,4950,1963,82,3,0,0,892569.0,611354
1238734,3,1,2,4,2594,3799,1960,46,3,2,1,1238734.0,348110
1386947,2,0,4,4,745,6797,1969,24,1,0,2,1386947.0,873927
236746,2,0,6,4,656,3070,1985,21,2,2,2,236746.0,820094
486791,0,1,1,1,2840,8535,2023,118,1,1,1,486791.0,825709
482165,3,0,5,4,2110,5859,1980,109,3,0,1,482165.0,847613
1187392,0,3,2,2,949,1361,2004,76,3,4,1,1187392.0,788934
950150,1,4,5,3,3116,6462,1997,98,0,1,2,950150.0,991301
465036,4,4,2,3,1727,5285,1986,119,1,3,1,465036.0,358313
746966,0,4,4,2,1714,9446,2022,102,1,0,2,829279.5,429230
368960,1,3,3,1,1447,3020,2009,30,3,0,2,368960.0,756126
1182854,4,0,2,1,887,3584,1970,17,3,1,1,1182854.0,395167
516722,3,3,1,4,3242,9096,1955,40,3,0,2,516722.0,119727
410680,2,0,1,1,1597,3907,2021,111,1,4,2,410680.0,155128
579380,3,4,1,2,3165,7690,1995,2,2,3,1,579380.0,731935
1474045,1,1,2,4,3031,7696,1982,89,3,4,2,1474045.0,172786
1441227,3,0,1,1,1445,8418,1971,15,3,1,1,1441227.0,398847
1110787,3,1,1,1,3736,4361,2017,27,4,2,1,1110787.0,881907
894755,2,4,5,1,3242,4500,2021,3,4,4,0,894755.0,507135
1340985,1,1,4,3,1618,9277,1970,42,3,4,0,1340985.0,128562
1118325,1,4,5,3,2004,5824,1995,42,3,2,1,1118325.0,299863
1148708,2,3,1,2,2255,8405,2006,80,2,3,2,1148708.0,551193
286476,1,2,2,1,3663,8176,2017,47,1,0,1,286476.0,359502
948322,1,4,2,1,769,7909,1974,110,3,4,0,948322.0,475563
973256,0,1,1,4,1393,7622,1982,89,1,4,0,973256.0,175247
1154506,2,4,3,2,2342,2659,2009,74,0,0,2,1154506.0,448704
323674,3,3,3,3,3826,2310,2016,50,1,1,0,323674.0,470769
512841,4,3,6,1,2735,9513,2012,76,1,4,1,512841.0,182090
1280680,3,0,1,4,1800,2769,1969,117,3,1,2,1280680.0,167293
888840,4,1,5,2,796,3561,2000,85,0,3,2,888840.0,818762
930535,3,2,6,1,2476,7792,1962,116,4,2,2,930535.0,644355
571179,1,0,3,3,3745,8006,1959,96,4,3,0,571179.0,425345
1026442,2,4,2,2,2333,3991,1999,74,3,3,0,1026442.0,821626
572510,4,3,5,4,3199,1413,2006,77,0,0,2,572510.0,213229
1472070,3,0,2,4,1548,3141,1984,71,1,0,0,1472070.0,722416
772817,1,2,1,2,2603,4509,1960,45,3,4,1,772817.0,896464
1387582,3,3,2,1,602,6137,1994,51,4,1,2,1387582.0,610640
1046192,2,3,2,4,1636,3931,2005,97,4,0,1,1046192.0,502509
1300827,2,1,1,3,2500,4567,1950,94,0,1,1,1300827.0,651808
1363548,0,1,5,3,1918,5955,2023,24,2,3,2,1363548.0,235270
388769,4,2,5,2,993,6247,2011,8,0,1,2,388769.0,598945
1261138,1,3,1,4,1999,1148,2006,87,3,0,0,1261138.0,910228
1101329,2,0,2,1,1269,4597,2006,41,2,0,0,1101329.0,440307
1265663,3,0,6,4,1944,1360,1951,51,2,0,2,1265663.0,299587
750711,1,3,2,4,714,9529,1959,98,1,0,2,750711.0,644770
565021,2,1,2,1,1862,7714,2010,65,1,4,0,565021.0,815178
849581,1,2,2,1,2560,6991,1963,50,1,3,2,849581.0,212786
1242207,1,0,5,2,2623,2847,1954,120,0,4,0,1242207.0,868381
201977,2,1,4,4,3967,1610,1989,38,0,0,1,201977.0,236320
370684,2,3,2,2,3601,4874,2022,116,1,2,2,370684.0,318792
658392,0,3,3,3,3652,2429,2012,107,0,4,0,658392.0,218651
588503,2,2,2,2,1164,7843,1985,14,1,4,0,818136.0,256038
974380,2,2,3,3,2311,1758,2002,43,0,0,2,974380.0,477296
917965,3,3,3,1,2683,7074,1983,59,4,3,2,917965.0,613387
1148502,2,1,2,1,1439,4876,1964,119,0,3,1,1148502.0,661811
788528,4,0,6,3,3041,4101,1998,57,3,1,2,788528.0,349508
818315,4,0,6,1,2055,1305,2005,83,1,1,0,818315.0,561453
1092879,1,3,1,4,2506,9567,1973,104,1,4,1,1092879.0,629938
1320556,1,4,6,1,1743,3182,2008,82,1,3,0,1320556.0,591348
516119,4,3,2,2,2902,1395,2013,58,4,3,2,516119.0,428654
480363,1,2,3,3,953,6404,2000,40,1,4,0,480363.0,348107
496535,4,2,3,3,3590,2197,2013,30,2,2,0,496535.0,147650
1251066,3,4,2,4,3990,3339,2020,14,0,2,1,1251066.0,529332
1399032,0,2,4,3,1641,4515,2020,52,0,3,0,1399032.0,517856
1121373,2,0,2,1,922,8638,2002,115,3,0,0,1121373.0,422364
738847,0,0,4,4,2318,8727,1977,26,0,1,2,738847.0,638632
374385,2,0,1,3,1237,2493,1995,17,3,4,0,912649.5,386116
